id,number,gender,nation,academy,profession,class,skill_type,skill_level,award_name,award_date,note
9828,201821100221,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共管理类,公管1805,计算机水平类,中级,全国计算机等级考试(1-4),2019-05-17,暂无数据
9829,201721130148,女,汉族,信息与安全工程学院,计算机科学与技术,计科1701,职业证书类,高级,普通话水平测试等级,2019-05-20,暂无数据
9830,201721060246,女,壮族,工商管理学院,国际经济与贸易,国贸1701,职业证书类,初级,证券从业人员资格考试,2019-08-31,暂无数据
9831,201821020014,女,汉族,经济学院,国际商务,国商1801,计算机水平类,中级,全国计算机等级考试(1-4),2019-05-15,暂无数据
9832,1606080163,男,汉族,工商管理学院,农林经济管理,农经1601,外语水平类,中级,全国大学英语六级考试,2019-08-01,暂无数据
9833,1606020119,男,回族,工商管理学院,贸易经济,贸经1601,外语水平类,中级,全国大学英语六级考试,2018-12-06,暂无数据
9834,201721110072,女,回族,外国语学院,日语,日语1702,外语水平类,初级,全国大学英语四级考试,2018-12-15,暂无数据
9835,1608010234,女,苗族,会计学院（会计硕士专业学位教育中心）,会计学,会计1602,职业证书类,初级,初级会计专业技术资格考试,2019-06-08,暂无数据
9836,1609040129,男,汉族,信息与安全工程学院,电子商务（技术）,商务1602,职业证书类,中级,普通话水平测试等级,2018-11-14,暂无数据
9837,201721060542,女,汉族,工商管理学院,管理科学,管科1701,计算机水平类,中级,全国计算机等级考试(1-4),2018-12-18,暂无数据
9838,201821030109,女,朝鲜族,金融学院,金融学类,金融1801,外语水平类,高级,韩国语能力考试(TOPIK),2019-05-30,暂无数据
9839,1609100104,女,汉族,统计与数学学院,经济统计学,经统1601,外语水平类,中级,雅思英语水平考试(IELTS),2019-04-26,暂无数据
9840,201729080362,女,羌族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1701,外语水平类,初级,全国大学英语四级考试,2018-12-15,暂无数据
9841,1632010126,女,汉族,文澜学院,经济管理试验班,经管1601,计算机水平类,初级,全国计算机等级考试(1-4),2017-09-01,暂无数据
9842,1612030116,男,汉族,新闻与文化传播学院,汉语言文学,中文1601,外语水平类,中级,全国大学英语六级考试,2018-12-27,暂无数据
9843,1607030221,女,汉族,财政税务学院,税收学,税务1602,职业证书类,初级,初级会计专业技术资格考试,2019-09-06,暂无数据
9844,201821030025,女,汉族,金融学院,金融学类,金融1804,职业证书类,初级,ACCA商业会计师证,2019-05-29,暂无数据
9845,201721110098,女,汉族,外国语学院,日语,日语1702,职业证书类,中级,普通话水平测试等级,2019-07-06,暂无数据
9846,201721040305,女,汉族,法学院,法学,法1702,计算机水平类,中级,全国计算机等级考试(1-4),2018-09-30,暂无数据
9847,1603030126,男,汉族,金融学院,工程管理,工程1601,职业证书类,中级,证券从业人员资格考试,2019-06-06,暂无数据
9848,1611000329,女,汉族,外国语学院,英语,英语1603,外语水平类,中级,全国大学英语六级考试,2019-06-09,暂无数据
9849,1603150103,女,汉族,金融学院,保险学（精算）,保精1601,职业证书类,中级,英国精算师考试,2019-01-16,暂无数据
9850,201721030238,女,汉族,金融学院,金融学,金融1701,外语水平类,初级,全国大学英语四级考试,2018-02-26,暂无数据
9851,201721130056,女,汉族,信息与安全工程学院,信息管理与信息系统（金融信息）,信管1702,职业证书类,中级,普通话水平测试等级,2018-11-09,暂无数据
9852,201729050833,女,回族,刑事司法学院,法学（司）,司法1702,外语水平类,初级,全国大学英语四级考试,2019-02-26,暂无数据
9853,1604000813,女,汉族,法学院,法学,法1608,计算机水平类,中级,全国计算机等级考试(1-4),2018-09-01,暂无数据
9854,1606010129,女,汉族,工商管理学院,国际经济与贸易,国贸1601,职业证书类,中级,证券从业人员资格考试,2018-09-01,暂无数据
9855,201721100272,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,城市管理,城管1701,外语水平类,初级,全国大学英语四级考试,2019-04-06,暂无数据
9856,201721070214,女,汉族,财政税务学院,财政学,财政1701,计算机水平类,中级,全国计算机等级考试(1-4),2018-09-16,暂无数据
9857,201721320225,女,羌族,文澜学院,经济管理试验班,经管1701,外语水平类,中级,全国大学英语六级考试,2019-08-06,暂无数据
9858,201721050187,女,汉族,刑事司法学院,法学（司）,司法1701,职业证书类,中级,普通话水平测试等级,2019-05-24,暂无数据
9859,201721040398,女,汉族,法学院,法学,法1708,职业证书类,中级,普通话水平测试等级,2018-12-07,暂无数据
9860,201721130230,女,汉族,信息与安全工程学院,环境工程,环境1701,职业证书类,中级,普通话水平测试等级,2019-06-09,暂无数据
9861,201821030336,男,汉族,金融学院,管理科学与工程类,管工1801,外语水平类,中级,雅思英语水平考试(IELTS),2019-08-23,暂无数据
9862,1606070118,女,汉族,工商管理学院,旅游管理,旅游1601,外语水平类,中级,雅思英语水平考试(IELTS),2018-04-14,暂无数据
9863,201721120176,女,汉族,新闻与文化传播学院,新闻学,新闻1701,外语水平类,初级,全国大学英语四级考试,2018-12-07,暂无数据
9864,1609110112,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（CPAC）,CPAC1601,职业证书类,初级,ACCA商业会计师证,2019-06-27,暂无数据
9865,201721040693,女,汉族,法学院,法学,民商1702,外语水平类,中级,全国大学英语六级考试,2019-08-21,暂无数据
9866,201721040206,男,汉族,法学院,法学,法1707,外语水平类,中级,全国大学英语六级考试,2019-08-21,暂无数据
9867,201721040660,女,汉族,法学院,法学,民商1702,计算机水平类,初级,全国计算机等级考试(1-4),2018-11-05,暂无数据
9868,201721020144,女,汉族,经济学院,国际商务,国商1701,外语水平类,初级,韩国语能力考试(TOPIK),2018-10-21,暂无数据
9869,201721060232,女,汉族,工商管理学院,物流管理,物管1701,外语水平类,初级,全国大学英语四级考试,2018-12-01,暂无数据
9870,201721070039,女,汉族,财政税务学院,税收学,税务1702,计算机水平类,中级,全国计算机等级考试(1-4),2018-11-02,暂无数据
9871,201721120217,女,汉族,新闻与文化传播学院,汉语言文学,中文1701,外语水平类,初级,全国大学英语四级考试,2018-12-15,暂无数据
9872,201721060349,女,汉族,金融学院,金融学,金融1702,职业证书类,初级,证券从业人员资格考试,2019-03-17,暂无数据
9873,201721130203,女,汉族,信息与安全工程学院,环境工程,环境1701,外语水平类,中级,全国大学英语六级考试,2019-06-30,暂无数据
9874,1632010150,男,汉族,文澜学院,经济管理试验班,经管1601,外语水平类,高级,全国大学英语六级考试,2019-06-15,暂无数据
9875,1606030155,女,瑶族,工商管理学院,管理科学,管科1601,外语水平类,中级,全国大学英语六级考试,2018-12-27,暂无数据
9876,201721110194,女,汉族,外国语学院,商务英语,商英1703,外语水平类,中级,雅思英语水平考试(IELTS),2019-09-15,暂无数据
9877,1609110121,男,汉族,统计与数学学院,应用统计学,应统1601,职业证书类,中级,证券从业人员资格考试,2018-04-30,暂无数据
9878,201721060302,女,汉族,工商管理学院,人力资源管理,人力1701,外语水平类,中级,全国大学英语六级考试,2019-06-05,暂无数据
9879,201721040288,女,汉族,法学院,法学,外法1702,外语水平类,初级,全国大学英语四级考试,2019-03-15,暂无数据
9880,201721030253,男,汉族,金融学院,金融学（CFA）,CFA1701,外语水平类,初级,全国大学英语四级考试,2018-12-12,暂无数据
9881,201721070124,女,汉族,财政税务学院,税收学,税务1701,外语水平类,中级,全国大学英语六级考试,2019-08-21,暂无数据
9882,201721080020,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学,会计1701,外语水平类,初级,全国大学英语四级考试,2018-12-15,暂无数据
9883,201821250016,女,汉族,中韩新媒体学院,电影学（影像）,影像1803,外语水平类,初级,雅思英语水平考试(IELTS),2019-09-06,暂无数据
9884,1602040143,女,汉族,经济学院,国际商务,国商1601,外语水平类,中级,全国大学英语六级考试,2019-05-09,暂无数据
9885,1607030227,男,汉族,财政税务学院,税收学,税务1602,职业证书类,初级,证券从业人员资格考试,2018-09-09,暂无数据
9886,201721080104,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1701,外语水平类,中级,全国大学英语六级考试,2019-06-15,暂无数据
9887,201721070039,女,汉族,财政税务学院,税收学,税务1702,外语水平类,初级,全国大学英语四级考试,2019-02-26,暂无数据
9888,1602010117,女,汉族,经济学院,经济学,经济1601,职业证书类,初级,初级会计专业技术资格考试,2019-08-08,暂无数据
9889,1607010120,女,汉族,财政税务学院,财政学,财政1601,职业证书类,中级,普通话水平测试等级,2018-12-07,暂无数据
